date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:02:09	132549/132549	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Nov%202024%2009:02:12%20GMT	https://phongtro123.com/cho-thue-van-phong-vi-tri-dac-dia-tai-219b-no-trang-long-binh-thanh-2-pr669865.html	D:/anhhome/phongtro123.com/cho-thue-van-phong-vi-tri-dac-dia-tai-219b-no-trang-long-binh-thanh-2-pr669865.html	(from https://phongtro123.com/)
16:02:11	158975/158975	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Nov%202024%2009:02:13%20GMT	https://phongtro123.com/cho-thue-mat-bang-quan-binh-thanh-ho-chi-minh	D:/anhhome/phongtro123.com/cho-thue-mat-bang-quan-binh-thanh-ho-chi-minh.html	(from https://phongtro123.com/)
16:02:12	147098/147098	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Nov%202024%2009:02:15%20GMT	https://phongtro123.com/phong-moi-xay-chi-voi-3-trieu-100-phong-moi-chua-qua-su-dung-pr669863.html	D:/anhhome/phongtro123.com/phong-moi-xay-chi-voi-3-trieu-100-phong-moi-chua-qua-su-dung-pr669863.html	(from https://phongtro123.com/)
16:02:12	365/365	---MC-	302	error ('Found')	text/html	date:Sat,%2016%20Nov%202024%2009:02:15%20GMT	https://phongtro123.com/cho-thue-ktx-nam-cao-cap-s502-vinhome-grand-park-quan-9-pr669862.html	D:/anhhome/phongtro123.com/cho-thue-ktx-nam-cao-cap-s502-vinhome-grand-park-quan-9-pr669862.html	(from https://phongtro123.com/)
16:02:12	365/365	---MC-	302	error ('Found')	text/html	date:Sat,%2016%20Nov%202024%2009:02:15%20GMT	https://phongtro123.com/cho-thue-ktx-nam-cao-cap-s502-vinhome-grand-park-quan-9-pr669862.html	D:/anhhome/phongtro123.com/cho-thue-ktx-nam-cao-cap-s502-vinhome-grand-park-quan-9-pr669862.html	(from https://phongtro123.com/)
16:02:16	168220/168220	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Nov%202024%2009:02:17%20GMT	https://phongtro123.com/tinh-thanh/ho-chi-minh/quan-9	D:/anhhome/phongtro123.com/tinh-thanh/ho-chi-minh/quan-9.html	(from https://phongtro123.com/)
16:02:16	133898/133898	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Nov%202024%2009:02:19%20GMT	https://phongtro123.com/cho-thue-ktx-nam-cao-cap-vinhome-grand-park-quan-9-pr669861.html	D:/anhhome/phongtro123.com/cho-thue-ktx-nam-cao-cap-vinhome-grand-park-quan-9-pr669861.html	(from https://phongtro123.com/)
16:02:18	134889/134889	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Nov%202024%2009:02:21%20GMT	https://phongtro123.com/cho-thue-phong-tro-co-gac-gio-tu-do-khong-chung-chu-bao-ve-24-24-pr669860.html	D:/anhhome/phongtro123.com/cho-thue-phong-tro-co-gac-gio-tu-do-khong-chung-chu-bao-ve-24-24-pr669860.html	(from https://phongtro123.com/)
16:02:21	167741/167741	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Nov%202024%2009:02:23%20GMT	https://phongtro123.com/tinh-thanh/ho-chi-minh/quan-2	D:/anhhome/phongtro123.com/tinh-thanh/ho-chi-minh/quan-2.html	(from https://phongtro123.com/)
16:02:22	137321/137321	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Nov%202024%2009:02:24%20GMT	https://phongtro123.com/cho-thue-phong-tro-cua-so-thoang-gia-tot-moi-xay-ngay-cong-vien-lang-hoa-pr669859.html	D:/anhhome/phongtro123.com/cho-thue-phong-tro-cua-so-thoang-gia-tot-moi-xay-ngay-cong-vien-lang-hoa-pr669859.html	(from https://phongtro123.com/)
